,train-logloss-mean,train-logloss-std,train-auc-mean,train-auc-std,test-logloss-mean,test-logloss-std,test-auc-mean,test-auc-std
53,0.5691013,0.005037052472428675,0.7777113,0.004177699248390205,0.5697767999999999,0.00638028409712294,0.7552726999999999,0.012177569766172564
54,0.5692577,0.0046347971055915645,0.7780383,0.004209848715809161,0.5699365,0.005979186688003637,0.7562616,0.012232274491687959
55,0.5682609999999999,0.003231945636919046,0.7784196999999999,0.004202244258726517,0.5690194,0.0047410602864760235,0.7558946,0.012681634840981634
56,0.5677747,0.003892778623297255,0.7788383000000001,0.004237769603222911,0.5685413,0.005318030143765631,0.7561213999999999,0.012626566288583765
57,0.5673020999999999,0.004273950033633986,0.7792538999999999,0.0042608929451465995,0.5681111999999999,0.005177304661694158,0.7559356,0.012035650652955997
58,0.5649146,0.004758012089097705,0.7794937000000001,0.004330433674587323,0.5657333999999999,0.006060613652098299,0.7561977000000001,0.01173106884346007
59,0.5652174999999999,0.004066553485446855,0.7803686999999999,0.003186557642660803,0.566145,0.0053456307017974965,0.7567354999999999,0.01201299851202854
60,0.5646182,0.00474205883135163,0.7806746999999999,0.0032287177965873693,0.5655116,0.00534066979320011,0.7570056999999999,0.012079563361727934
61,0.5639215999999999,0.004786424953971377,0.7810946000000001,0.0031111933787535536,0.5648318,0.005750300823435242,0.7568977,0.011784643660713714
62,0.5648340000000001,0.005423401294390796,0.7818373999999999,0.0029904578646087034,0.5657376000000001,0.00708018231686163,0.7577225,0.01293912132449495
63,0.5627320000000001,0.004421041755061811,0.7824789,0.0027235216338409923,0.5635595,0.005795832558830528,0.7585658000000001,0.013557575504491954
64,0.5614499,0.004353265864842168,0.7831392999999999,0.002450343896272505,0.5622962000000001,0.005440138615881039,0.7588131,0.01362827558754223
65,0.5613998,0.00327111463571669,0.7835269,0.0023830285541721844,0.5622986999999999,0.004193218955647326,0.7592998000000001,0.013666491838068747
66,0.561796,0.0025077495488983704,0.7838925000000001,0.00226528242168609,0.5626736000000001,0.004085293727506007,0.759429,0.014033907930437623
67,0.5605912000000001,0.0022886571521309193,0.7842082999999999,0.0021265109475382456,0.5615344,0.005009306323234777,0.7588906,0.01431640349529169
68,0.5606888000000001,0.0033181631605453104,0.7843023,0.0021827201859148126,0.5615699000000001,0.006147360107395681,0.7590273,0.014041303465490651
69,0.5604916999999999,0.004242734638178535,0.7847452999999999,0.0021389062648933346,0.5613143,0.006616689686693766,0.7589075999999999,0.01417088047511514
70,0.5614331,0.005218112004355621,0.7850811,0.002079721156790018,0.5622362,0.007924257918568775,0.7591092,0.01431312661021344
71,0.5611245,0.005111685460784933,0.7853918,0.002032247957312301,0.5618869,0.007472729534112678,0.7589303000000001,0.014355451954222827
72,0.5607922000000001,0.004313393415861815,0.7858122000000001,0.0020870044465692897,0.5615521000000001,0.005999699099954926,0.7591502,0.014089528124106918
73,0.5604079000000001,0.004727744863039901,0.7862364000000001,0.0019589873506482896,0.5612629,0.006667348535212474,0.7593047,0.014573770885052363
74,0.5604606,0.004450368595970454,0.7865343999999999,0.0018679465302840043,0.5613751,0.005980841219260057,0.7595344999999999,0.014608764494302732
75,0.5593615,0.004413429783059883,0.7869398,0.0018882286302246251,0.5602815999999999,0.0054534965334178,0.7602287999999999,0.014862702074656542
76,0.5589943,0.003987330662235066,0.7871341,0.001725110341398488,0.5599046,0.005617120796279877,0.7602329999999999,0.015011946309522965
77,0.5579586,0.003806084528751314,0.7878114,0.0017952972010227314,0.5589022000000001,0.005099636238007573,0.7609993,0.015576840623502565
78,0.5567805,0.003970990915376148,0.7881755,0.0019348159731612754,0.5577706000000001,0.005565902392245112,0.7615345,0.015159061469959144
79,0.5568068,0.00450826773384188,0.7884099999999999,0.002008380939961351,0.5578133,0.006025170438253164,0.7614181,0.014679626776250128
80,0.5571416,0.003973989536976647,0.788678,0.0020403477644754674,0.5581208,0.004608249251071388,0.7617313,0.01457546549548246
81,0.5568587999999999,0.004551249142817847,0.7891878999999999,0.0019700802242548403,0.5578696,0.004818942668262415,0.7622140000000001,0.014125736816180609
82,0.5563023,0.004121313117199417,0.7893058,0.001989229690106201,0.5572774,0.004136282345295109,0.7628346999999999,0.013494957162214343
83,0.5553551999999999,0.0038733484687025073,0.7894121000000001,0.001946099609475341,0.5564115999999999,0.0036029445790908407,0.7627552000000001,0.013236666006211683
84,0.5551478000000001,0.004854667873294729,0.7896774000000001,0.001980751483654634,0.5563927,0.004231462703368657,0.7621990999999999,0.0131278980072973
85,0.5549012,0.005482147823618052,0.7899340999999999,0.0019558691392830866,0.5561329999999999,0.005647167608633546,0.7623872,0.013182465488670933
86,0.5538343,0.004157909018966143,0.7901763999999999,0.0018934579055262858,0.5551454,0.004350941419968804,0.7622334000000001,0.012728738784341505
87,0.5548811,0.004074129071347645,0.7904085999999999,0.002097564835708301,0.5562003,0.004663153654984992,0.7625029999999999,0.01261941829879649
88,0.5539105,0.002788008904218198,0.7907531999999999,0.0021339716399240037,0.5552401,0.00384449763818369,0.7615206000000001,0.012509211767333706
89,0.5529884,0.0029051284033584355,0.790998,0.00206673128393607,0.5543148,0.003957626177394725,0.7616575999999999,0.012757394962922495
90,0.5531263999999999,0.004058447540624359,0.7912286,0.0021537090425589253,0.5545505,0.0051177074017571674,0.7617138000000001,0.013237839595643995
91,0.5522501,0.004711518639462218,0.7917067,0.001963953311563172,0.5536684000000001,0.0056099034073680805,0.7616481,0.01344150526875618
92,0.5518099000000001,0.003538291577866353,0.7919357,0.0021109845120227664,0.5532217,0.004982911459177254,0.7612764000000001,0.013403933461488078
93,0.5499708,0.003671282958313076,0.7925731,0.0020727841397502086,0.5514797,0.0047248302202301425,0.7618180999999999,0.013010456236811983
94,0.5508288,0.0042966295348796524,0.7926194000000001,0.0020602646529026187,0.5523591999999999,0.004298243706445687,0.7621736,0.012917973348788117
95,0.5499211,0.004612277126322746,0.7928499,0.0019564526802353377,0.5515067,0.004671325894218899,0.762149,0.012607584391944397
96,0.5489273,0.003947123206843197,0.79305,0.0018906608368504509,0.5504597,0.0039967864603954,0.7626660999999999,0.011787132369240616
97,0.5508961000000001,0.004792724745903942,0.7933721,0.0019275972841856582,0.5524631,0.004276136911980276,0.7629486999999999,0.011656247604182036
